127.0.0.1 - - [27/Aug/2021:09:01:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:02:01 +0900] "GET /Project_01/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:02:01 +0900] "GET /Project_01/main HTTP/1.1" 200 13165
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:02:01 +0900] "GET /Project_01/image/ryzen5600x.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:02:01 +0900] "GET /Project_01/image/Ryzen%205800X.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:02:01 +0900] "GET /Project_01/image/Intel%20i7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:02:01 +0900] "GET /Project_01/image/rtx%203070%20gigabyte.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:02:01 +0900] "GET /Project_01/image/rtx%203070%20msi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:02:01 +0900] "GET /Project_01/image/Samsung%20Moniter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:02:01 +0900] "GET /Project_01/image/LG%20Moniter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:02:01 +0900] "GET /Project_01/image/SK%20SSD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:02:01 +0900] "GET /Project_01/image/Samsung%20SSD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:02:01 +0900] "GET /Project_01/image/Hansung%20Moniter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:02:01 +0900] "GET /Project_01/image/Micronics%20SSD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:02:01 +0900] "GET /Project_01/image/rtx%203070%20asus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2021:09:02:01 +0900] "GET /Project_01/image/hatch%20case.jpg HTTP/1.1" 304 -
