127.0.0.1 - - [26/Sep/2021:19:16:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Sep/2021:19:16:36 +0900] "GET /Project_01/WEB-INF/views/product/product_cart.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Sep/2021:19:16:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:52:38 +0900] "GET /Project_01/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:52:38 +0900] "GET /Project_01/main HTTP/1.1" 200 12895
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:52:38 +0900] "GET /Project_01/image/ryzen5600x.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:52:38 +0900] "GET /Project_01/image/rtx%203070%20asus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:52:38 +0900] "GET /Project_01/image/Intel%20i7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:52:39 +0900] "GET /Project_01/image/Ryzen%205800X.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:52:39 +0900] "GET /Project_01/image/LG%20Moniter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:52:39 +0900] "GET /Project_01/image/Samsung%20SSD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:52:39 +0900] "GET /Project_01/image/SK%20SSD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:52:39 +0900] "GET /Project_01/image/Hansung%20Moniter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:52:39 +0900] "GET /Project_01/image/Micronics%20SSD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:52:39 +0900] "GET /Project_01/image/dlx21%20case.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:52:39 +0900] "GET /Project_01/image/rtx%203070%20msi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:52:39 +0900] "GET /Project_01/image/micronics%20case.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:52:39 +0900] "GET /Project_01/image/hatch%20case.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:21:52:39 +0900] "GET /Project_01/image/rtx%203070%20gigabyte.jpg HTTP/1.1" 304 -
